player_id,player_name,team,position,games_played,toi_seconds,goals,assists,points,shots,hits,blocks,plus_minus,pim,fow,fol,fo_pct,GF,xG_For,Shots_For,HDC_For,Blocks_For,Hits_For,Corsi_For,OZ_Shots_For,NZ_Shots_For,DZ_Shots_For,Rush_Shots_For,ENtoS_For,EXtoEN_For,Giveaways_For,Takeaways_For,Lateral_Move_For,Longitudinal_Move_For,GameScore_For,GA,xG_Against,Shots_Against,HDC_Against,Blocks_Against,Hits_Against,Corsi_Against,OZ_Shots_Against,NZ_Shots_Against,DZ_Shots_Against,Rush_Shots_Against,ENtoS_Against,EXtoEN_Against,Giveaways_Against,Takeaways_Against,Lateral_Move_Against,Longitudinal_Move_Against,GameScore_Against,Corsi_Pct,xG_Pct
8480084,N. DeSimone,UTA,D,31,849.1,0.06,0.1,0.16,0.97,0.48,0.58,0.1,0.19,0.0,0.0,0.0,3.13,0.07,0.97,0.13,0.58,0.48,2.1,0.97,0.0,0.0,0.0,0.48,0.03,0.74,0.1,10.17,11.81,0.13,2.52,2.06,26.23,4.48,14.94,21.74,53.03,24.65,1.03,0.55,0.0,11.03,1.32,0.0,0.0,19.52,26.64,0.0,3.99,3.42
8480113,A. Iafallo,WPG,F,55,915.09,0.16,0.2,0.36,1.29,1.35,0.73,0.04,0.22,0.0,0.0,0.0,2.89,0.1,1.29,0.29,0.73,1.35,2.36,1.18,0.05,0.05,0.0,0.42,0.04,0.35,0.15,5.86,4.92,0.39,3.09,2.4,28.2,5.96,15.71,18.44,55.58,26.95,0.67,0.58,0.0,11.04,1.07,0.0,0.0,20.74,27.14,0.0,4.05,3.95
8480144,D. Kampf,VAN,F,33,914.21,0.06,0.12,0.18,1.03,1.12,0.55,-0.27,0.24,0.0,0.0,0.0,2.36,0.09,1.03,0.27,0.55,1.12,1.88,0.94,0.06,0.03,0.0,0.3,0.0,0.48,0.18,4.17,6.67,0.21,3.82,2.61,29.64,6.79,13.82,18.0,55.7,28.24,0.61,0.79,0.0,11.79,1.09,0.0,0.0,18.26,27.2,0.0,3.41,3.28
8480145,N. Pionk,WPG,D,40,1367.4,0.05,0.15,0.2,1.9,2.1,1.6,-0.02,0.48,0.0,0.0,0.0,3.0,0.11,1.9,0.08,1.6,2.1,4.3,1.75,0.12,0.02,0.0,0.82,0.0,1.18,0.28,9.16,11.69,0.27,3.12,2.41,27.75,6.08,15.5,18.2,54.85,26.62,0.7,0.42,0.0,10.95,1.0,0.0,0.0,20.57,26.74,0.0,7.19,4.54
8480185,E. Luostarinen,FLA,F,47,1008.26,0.13,0.36,0.49,1.57,2.02,0.81,0.04,0.34,0.0,0.0,0.0,3.0,0.12,1.57,0.4,0.81,2.02,2.79,1.47,0.04,0.06,0.0,0.51,0.0,0.62,0.38,7.09,11.04,0.5,3.23,2.2,25.43,5.94,13.38,20.66,49.96,23.62,1.0,0.81,0.0,9.87,1.32,0.0,0.0,21.19,28.61,0.0,5.29,5.33
8480188,F. Zetterlund,OTT,F,55,828.35,0.22,0.18,0.4,1.69,1.87,0.44,-0.13,0.25,0.0,0.0,0.0,3.38,0.18,1.69,0.47,0.44,1.87,3.55,1.65,0.04,0.0,0.0,0.85,0.02,0.47,0.22,5.06,6.7,0.44,3.25,1.88,24.84,5.0,14.93,23.16,48.56,23.62,0.56,0.65,0.0,10.36,0.85,0.0,0.0,19.84,28.25,0.0,6.86,8.72
8480191,M. Villalta,UTA,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,4.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8480192,J. Kovacevic,NJD,D,9,1015.33,0.0,0.22,0.22,1.11,1.78,1.22,-0.33,1.0,0.0,0.0,0.0,2.78,0.05,1.11,0.0,1.22,1.78,2.11,1.11,0.0,0.0,0.0,0.56,0.0,1.0,0.11,6.17,6.44,0.21,3.22,2.17,26.22,5.67,14.56,19.0,53.11,25.22,0.56,0.44,0.0,10.11,0.89,0.0,0.0,23.21,24.7,0.0,4.0,2.42
8480193,D. Tarasov,FLA,G,55,1151.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,3.29,2.3,8.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8480196,J. Bryson,BUF,D,33,610.73,0.06,0.09,0.15,0.33,0.27,0.61,0.0,0.24,0.0,0.0,0.0,3.36,0.04,0.33,0.06,0.61,0.27,1.09,0.33,0.0,0.0,0.0,0.15,0.03,0.3,0.06,3.15,3.82,0.13,3.21,2.16,30.24,5.36,16.45,22.73,59.52,28.42,1.0,0.82,0.0,11.3,1.06,0.0,0.0,20.72,27.0,0.0,2.01,2.01
